v1,date_elec,mtr_number,conload,imp,date_md,date,tavg,tmin,tmax,prcp,wdir,wspd,wpgt,pres,_merge
1,2021-04-01,USS 0004903,384,8.6800003,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
2,2021-04-01,USS 0004927,384,9.4200001,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
3,2021-04-01,USS 0004949,384,4.3000002,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
4,2021-04-01,USS 0004966,384,1.7,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
5,2021-04-01,USS 0005019,576,9.1999998,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
6,2021-04-01,USS 0008953,576,9.54,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
7,2021-04-01,USS 0008983,576,8.3199997,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
8,2021-04-01,USS 0009044,576,9.6000004,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
9,2021-04-01,USS 0009063,576,8.9399996,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
10,2021-04-01,USS 0009067,576,4.98,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
11,2021-04-01,USS 0009070,576,2.0799999,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
12,2021-04-01,USS 0009072,576,4.6599998,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
13,2021-04-01,USS 0009073,576,5.5799999,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
14,2021-04-01,USS 0009074,576,5.5799999,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
15,2021-04-01,USS 0009075,576,5.5799999,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
16,2021-04-01,USS 0009076,576,4.9400001,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
17,2021-04-01,USS 0015695,576,2.9000001,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
18,2021-04-01,USS 0017113,192,0,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
19,2021-04-01,USS 0017137,768,0,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
20,2021-04-01,USS 0017138,576,7.4200001,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
21,2021-04-01,USS 0020686,192,0,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
22,2021-04-01,USS 0020707,768,42.34,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
23,2021-04-01,UST 0000711,1248,31.059999,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
24,2021-04-01,UST 0000712,1248,19.24,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
25,2021-04-01,UST 0000713,1248,18.16,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
26,2021-04-01,UST 0002019,1248,17.6,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
27,2021-04-01,UST 0002020,1248,15.24,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
28,2021-04-01,UST 0002021,NA,389.06,2021-04-01,01-04-2021,32.099998,24.6,41,,272,7,,1004.5,Matched (3)
29,2021-04-02,USS 0004903,384,5.6799998,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
30,2021-04-02,USS 0004927,384,8.54,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
31,2021-04-02,USS 0004949,384,5.46,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
32,2021-04-02,USS 0004966,384,1.5,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
33,2021-04-02,USS 0005019,576,9.2399998,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
34,2021-04-02,USS 0008953,576,9.8400002,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
35,2021-04-02,USS 0008983,576,9.3400002,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
36,2021-04-02,USS 0009044,576,9.1400003,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
37,2021-04-02,USS 0009063,576,5.8200002,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
38,2021-04-02,USS 0009067,576,5.5599999,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
39,2021-04-02,USS 0009070,576,1.46,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
40,2021-04-02,USS 0009072,576,4.6399999,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
41,2021-04-02,USS 0009073,576,5.6599998,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
42,2021-04-02,USS 0009074,576,5.6399999,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
43,2021-04-02,USS 0009075,576,5.6399999,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
44,2021-04-02,USS 0009076,576,5.02,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
45,2021-04-02,USS 0015695,576,2.78,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
46,2021-04-02,USS 0017113,192,.98000002,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
47,2021-04-02,USS 0017137,768,0,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
48,2021-04-02,USS 0017138,576,1.72,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
49,2021-04-02,USS 0020686,192,0,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
50,2021-04-02,USS 0020707,768,41.200001,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
51,2021-04-02,UST 0000711,1248,30,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
52,2021-04-02,UST 0000712,1248,19.200001,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
53,2021-04-02,UST 0000713,1248,18.52,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
54,2021-04-02,UST 0002019,1248,17.639999,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
55,2021-04-02,UST 0002020,1248,15.18,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
56,2021-04-02,UST 0002021,NA,434.73999,2021-04-02,02-04-2021,31.9,23,42,,259,6.0999999,,1005.4,Matched (3)
57,2021-04-03,USS 0004903,384,7.98,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
58,2021-04-03,USS 0004927,384,9.2200003,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
59,2021-04-03,USS 0004949,384,5.6599998,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
60,2021-04-03,USS 0004966,384,5.2600002,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
61,2021-04-03,USS 0005019,576,4.8400002,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
62,2021-04-03,USS 0008953,576,8.2600002,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
63,2021-04-03,USS 0008983,576,9.8199997,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
64,2021-04-03,USS 0009044,576,9.1400003,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
65,2021-04-03,USS 0009063,576,6.1399999,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
66,2021-04-03,USS 0009067,576,4.3000002,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
67,2021-04-03,USS 0009070,576,1.92,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
68,2021-04-03,USS 0009072,576,4.7600002,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
69,2021-04-03,USS 0009073,576,4.8200002,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
70,2021-04-03,USS 0009074,576,5.5799999,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
71,2021-04-03,USS 0009075,576,5.5599999,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
72,2021-04-03,USS 0009076,576,5,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
73,2021-04-03,USS 0015695,576,3.3199999,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
74,2021-04-03,USS 0017113,192,3.4200001,2021-04-03,03-04-2021,32.200001,22,43,,287,6.8000002,,1006.4,Matched (3)
