v1,date_elec,mtr_number,conload,imp,date_md,date,tavg,tmin,tmax,prcp,wdir,wspd,wpgt,pres,_merge,date2
897,2021-05-03,USS 0004903,192,5.6399999,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
898,2021-05-03,USS 0004927,192,8.4799995,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
899,2021-05-03,USS 0004949,192,6.9899998,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
900,2021-05-03,USS 0004966,192,2.5999999,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
901,2021-05-03,USS 0005019,288,2.3900001,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
902,2021-05-03,USS 0008953,288,3.8299999,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
903,2021-05-03,USS 0008983,288,4.2800002,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
904,2021-05-03,USS 0009044,288,4.7199998,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
905,2021-05-03,USS 0009063,288,0,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
906,2021-05-03,USS 0009067,288,.85000002,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
907,2021-05-03,USS 0009070,288,.83999997,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
908,2021-05-03,USS 0009072,288,2.5799999,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
909,2021-05-03,USS 0009073,288,2.6800001,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
910,2021-05-03,USS 0009074,288,2.79,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
911,2021-05-03,USS 0009075,288,3.6300001,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
912,2021-05-03,USS 0009076,288,2.3499999,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
913,2021-05-03,USS 0015695,288,1.13,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
914,2021-05-03,USS 0017113,96,1.62,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
915,2021-05-03,USS 0017137,384,0,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
916,2021-05-03,USS 0017138,288,.38999999,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
917,2021-05-03,USS 0020686,96,0,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
918,2021-05-03,USS 0020707,384,17.940001,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
919,2021-05-03,UST 0000711,624,13.41,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
920,2021-05-03,UST 0000712,624,9.6599998,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
921,2021-05-03,UST 0000713,624,9.1199999,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
922,2021-05-03,UST 0002019,624,8.7700005,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
923,2021-05-03,UST 0002020,624,7.1900001,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
924,2021-05-03,UST 0002021,NA,165.11,2021-05-03,03-05-2021,34.5,27,41,,345,6.0999999,,1006.4,Matched (3),03may2021
925,2021-05-04,USS 0004903,192,5.71,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
926,2021-05-04,USS 0004927,192,7.71,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
927,2021-05-04,USS 0004949,192,6.79,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
928,2021-05-04,USS 0004966,192,3.03,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
929,2021-05-04,USS 0005019,288,2.1800001,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
930,2021-05-04,USS 0008953,288,3.6800001,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
931,2021-05-04,USS 0008983,288,5.98,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
932,2021-05-04,USS 0009044,288,4.9899998,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
933,2021-05-04,USS 0009063,288,.89999998,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
934,2021-05-04,USS 0009067,288,.57999998,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
935,2021-05-04,USS 0009070,288,.5,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
936,2021-05-04,USS 0009072,288,2.5899999,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
937,2021-05-04,USS 0009073,288,2.6900001,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
938,2021-05-04,USS 0009074,288,2.6900001,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
939,2021-05-04,USS 0009075,288,3.6500001,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
940,2021-05-04,USS 0009076,288,2.4100001,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
941,2021-05-04,USS 0015695,288,1.13,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
942,2021-05-04,USS 0017113,96,1.46,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
943,2021-05-04,USS 0017137,384,0,2021-05-04,04-05-2021,35.200001,29.799999,42,,278,7.5,,1005.9,Matched (3),04may2021
