"","date","CATEGORY","conload","imp"
"1",2021-04-01,"MSI",13920,196.56
"2",2021-04-01,"Residential",3840,60.5
"3",2021-04-01,"Water Works",NA,389.06
"4",2021-04-02,"MSI",13920,190.08
"5",2021-04-02,"Residential",3840,55.32
"6",2021-04-02,"Water Works",NA,434.74
"7",2021-04-03,"MSI",13920,199.48
"8",2021-04-03,"Residential",3840,61.48
"9",2021-04-03,"Water Works",NA,294.5
"10",2021-04-04,"MSI",13920,202.06
"11",2021-04-04,"Residential",3840,72.14
"12",2021-04-04,"Water Works",NA,278.34
"13",2021-04-05,"MSI",13920,210.68
"14",2021-04-05,"Residential",3840,59.5
"15",2021-04-05,"Water Works",NA,329.48
"16",2021-04-06,"MSI",13920,210.28
"17",2021-04-06,"Residential",3840,65.46
"18",2021-04-06,"Water Works",NA,335.92
"19",2021-04-07,"MSI",13920,216.74
"20",2021-04-07,"Residential",3840,65.72
"21",2021-04-07,"Water Works",NA,287.86
"22",2021-04-08,"MSI",13920,207.58
"23",2021-04-08,"Residential",3840,56.9
"24",2021-04-08,"Water Works",NA,342.78
"25",2021-04-09,"MSI",13920,202.94
"26",2021-04-09,"Residential",3840,62.3
"27",2021-04-09,"Water Works",NA,285.66
"28",2021-04-10,"MSI",13920,191.7
"29",2021-04-10,"Residential",3840,69.26
"30",2021-04-10,"Water Works",NA,353.92
"31",2021-04-11,"MSI",13920,190.98
"32",2021-04-11,"Residential",3840,68.62
"33",2021-04-11,"Water Works",NA,303.9
"34",2021-04-12,"MSI",13920,208.54
"35",2021-04-12,"Residential",3840,69
"36",2021-04-12,"Water Works",NA,358.16
"37",2021-04-13,"MSI",13920,207.94
"38",2021-04-13,"Residential",3840,56.68
"39",2021-04-13,"Water Works",NA,289.94
"40",2021-04-14,"MSI",13920,201.08
"41",2021-04-14,"Residential",3840,57.82
"42",2021-04-14,"Water Works",NA,366.98
"43",2021-04-15,"MSI",13920,200.66
"44",2021-04-15,"Residential",3840,62.08
"45",2021-04-15,"Water Works",NA,293.5
"46",2021-04-16,"MSI",13920,198.2
"47",2021-04-16,"Residential",3840,60.22
"48",2021-04-16,"Water Works",NA,294.12
"49",2021-04-17,"MSI",13920,192.86
"50",2021-04-17,"Residential",3840,64.38
"51",2021-04-17,"Water Works",NA,323.7
"52",2021-04-18,"MSI",13920,174.84
"53",2021-04-18,"Residential",3840,58.98
"54",2021-04-18,"Water Works",NA,325.46
"55",2021-04-19,"MSI",13920,184.5
"56",2021-04-19,"Residential",3840,61.32
"57",2021-04-19,"Water Works",NA,301.7
"58",2021-04-20,"MSI",13920,181.94
"59",2021-04-20,"Residential",3840,56.72
"60",2021-04-20,"Water Works",NA,385.38
"61",2021-04-21,"MSI",13920,192.58
"62",2021-04-21,"Residential",3840,58.1
"63",2021-04-21,"Water Works",NA,327.6
"64",2021-04-22,"MSI",13920,199.18
"65",2021-04-22,"Residential",3840,59.92
"66",2021-04-22,"Water Works",NA,307.44
"67",2021-04-23,"MSI",13920,192.58
"68",2021-04-23,"Residential",3840,59.06
"69",2021-04-23,"Water Works",NA,306.02
"70",2021-04-24,"MSI",13920,191.22
"71",2021-04-24,"Residential",3840,66.56
"72",2021-04-24,"Water Works",NA,303.8
"73",2021-04-25,"MSI",13920,184.14
"74",2021-04-25,"Residential",3840,60.52
"75",2021-04-25,"Water Works",NA,349.44
"76",2021-04-26,"MSI",13920,194.68
"77",2021-04-26,"Residential",3840,60.94
"78",2021-04-26,"Water Works",NA,270.08
"79",2021-04-27,"MSI",13920,191.9
"80",2021-04-27,"Residential",3840,70.44
"81",2021-04-27,"Water Works",NA,336.58
"82",2021-04-28,"MSI",13920,184.02
"83",2021-04-28,"Residential",3840,78.66
"84",2021-04-28,"Water Works",NA,306.94
"85",2021-04-29,"MSI",13920,183.68
"86",2021-04-29,"Residential",3840,75.58
"87",2021-04-29,"Water Works",NA,290.14
"88",2021-04-30,"MSI",13920,178.42
"89",2021-04-30,"Residential",3840,76.28
"90",2021-04-30,"Water Works",NA,348.6
"91",2021-05-01,"MSI",6960,88.29
"92",2021-05-01,"Residential",1920,34.65
"93",2021-05-01,"Water Works",NA,152.41
"94",2021-05-02,"MSI",6960,85.1
"95",2021-05-02,"Residential",1920,33.85
"96",2021-05-02,"Water Works",NA,132.4
"97",2021-05-03,"MSI",6960,87.34
"98",2021-05-03,"Residential",1920,36.54
"99",2021-05-03,"Water Works",NA,165.11
"100",2021-05-04,"MSI",6960,88.1
"101",2021-05-04,"Residential",1920,38.79
"102",2021-05-04,"Water Works",NA,162.36
"103",2021-05-05,"MSI",6932,87.86
"104",2021-05-05,"Residential",1920,41.89
"105",2021-05-05,"Water Works",NA,153.14
"106",2021-05-06,"MSI",6960,94.89
"107",2021-05-06,"Residential",1920,41.62
"108",2021-05-06,"Water Works",NA,134.23
"109",2021-05-07,"MSI",6960,91.17
"110",2021-05-07,"Residential",1920,45.41
"111",2021-05-07,"Water Works",NA,185.6
"112",2021-05-08,"MSI",6948,89.83
"113",2021-05-08,"Residential",1920,43.88
"114",2021-05-08,"Water Works",NA,160.67
"115",2021-05-09,"MSI",6624,80.05
"116",2021-05-09,"Residential",1920,44.59
"117",2021-05-09,"Water Works",NA,131.1
"118",2021-05-10,"MSI",6812,83.82
"119",2021-05-10,"Residential",1920,40.26
"120",2021-05-10,"Water Works",NA,170.7
"121",2021-05-11,"MSI",6652,81.94
