"","date","MTR_NUMBER","conload","imp"
"1",2021-04-01,"USS 0004903",384,8.68
"2",2021-04-01,"USS 0004927",384,9.42
"3",2021-04-01,"USS 0004949",384,4.3
"4",2021-04-01,"USS 0004966",384,1.7
"5",2021-04-01,"USS 0005019",576,9.2
"6",2021-04-01,"USS 0008953",576,9.54
"7",2021-04-01,"USS 0008983",576,8.32
"8",2021-04-01,"USS 0009044",576,9.6
"9",2021-04-01,"USS 0009063",576,8.94
"10",2021-04-01,"USS 0009067",576,4.98
"11",2021-04-01,"USS 0009070",576,2.08
"12",2021-04-01,"USS 0009072",576,4.66
"13",2021-04-01,"USS 0009073",576,5.58
"14",2021-04-01,"USS 0009074",576,5.58
"15",2021-04-01,"USS 0009075",576,5.58
"16",2021-04-01,"USS 0009076",576,4.94
"17",2021-04-01,"USS 0015695",576,2.9
"18",2021-04-01,"USS 0017113",192,0
"19",2021-04-01,"USS 0017137",768,0
"20",2021-04-01,"USS 0017138",576,7.42
"21",2021-04-01,"USS 0020686",192,0
"22",2021-04-01,"USS 0020707",768,42.34
"23",2021-04-01,"UST 0000711",1248,31.06
"24",2021-04-01,"UST 0000712",1248,19.24
"25",2021-04-01,"UST 0000713",1248,18.16
"26",2021-04-01,"UST 0002019",1248,17.6
"27",2021-04-01,"UST 0002020",1248,15.24
"28",2021-04-01,"UST 0002021",NA,389.06
"29",2021-04-02,"USS 0004903",384,5.68
"30",2021-04-02,"USS 0004927",384,8.54
"31",2021-04-02,"USS 0004949",384,5.46
"32",2021-04-02,"USS 0004966",384,1.5
"33",2021-04-02,"USS 0005019",576,9.24
"34",2021-04-02,"USS 0008953",576,9.84
"35",2021-04-02,"USS 0008983",576,9.34
"36",2021-04-02,"USS 0009044",576,9.14
"37",2021-04-02,"USS 0009063",576,5.82
"38",2021-04-02,"USS 0009067",576,5.56
"39",2021-04-02,"USS 0009070",576,1.46
"40",2021-04-02,"USS 0009072",576,4.64
"41",2021-04-02,"USS 0009073",576,5.66
"42",2021-04-02,"USS 0009074",576,5.64
"43",2021-04-02,"USS 0009075",576,5.64
"44",2021-04-02,"USS 0009076",576,5.02
"45",2021-04-02,"USS 0015695",576,2.78
"46",2021-04-02,"USS 0017113",192,0.98
"47",2021-04-02,"USS 0017137",768,0
"48",2021-04-02,"USS 0017138",576,1.72
"49",2021-04-02,"USS 0020686",192,0
"50",2021-04-02,"USS 0020707",768,41.2
"51",2021-04-02,"UST 0000711",1248,30
"52",2021-04-02,"UST 0000712",1248,19.2
"53",2021-04-02,"UST 0000713",1248,18.52
"54",2021-04-02,"UST 0002019",1248,17.64
"55",2021-04-02,"UST 0002020",1248,15.18
"56",2021-04-02,"UST 0002021",NA,434.74
"57",2021-04-03,"USS 0004903",384,7.98
"58",2021-04-03,"USS 0004927",384,9.22
"59",2021-04-03,"USS 0004949",384,5.66
"60",2021-04-03,"USS 0004966",384,5.26
"61",2021-04-03,"USS 0005019",576,4.84
"62",2021-04-03,"USS 0008953",576,8.26
"63",2021-04-03,"USS 0008983",576,9.82
"64",2021-04-03,"USS 0009044",576,9.14
"65",2021-04-03,"USS 0009063",576,6.14
"66",2021-04-03,"USS 0009067",576,4.3
"67",2021-04-03,"USS 0009070",576,1.92
"68",2021-04-03,"USS 0009072",576,4.76
"69",2021-04-03,"USS 0009073",576,4.82
"70",2021-04-03,"USS 0009074",576,5.58
"71",2021-04-03,"USS 0009075",576,5.56
"72",2021-04-03,"USS 0009076",576,5
"73",2021-04-03,"USS 0015695",576,3.32
"74",2021-04-03,"USS 0017113",192,3.42
"75",2021-04-03,"USS 0017137",768,0
"76",2021-04-03,"USS 0017138",576,0.54
"77",2021-04-03,"USS 0020686",192,0
"78",2021-04-03,"USS 0020707",768,54.04
"79",2021-04-03,"UST 0000711",1248,30.74
"80",2021-04-03,"UST 0000712",1248,19.3
"81",2021-04-03,"UST 0000713",1248,18.26
"82",2021-04-03,"UST 0002019",1248,18
"83",2021-04-03,"UST 0002020",1248,15.08
"84",2021-04-03,"UST 0002021",NA,294.5
"85",2021-04-04,"USS 0004903",384,8.22
"86",2021-04-04,"USS 0004927",384,23.28
"87",2021-04-04,"USS 0004949",384,4.54
"88",2021-04-04,"USS 0004966",384,6.48
"89",2021-04-04,"USS 0005019",576,15.24
"90",2021-04-04,"USS 0008953",576,9.48
"91",2021-04-04,"USS 0008983",576,3.46
"92",2021-04-04,"USS 0009044",576,10.24
"93",2021-04-04,"USS 0009063",576,6.44
"94",2021-04-04,"USS 0009067",576,2.52
"95",2021-04-04,"USS 0009070",576,0.94
"96",2021-04-04,"USS 0009072",576,5.54
"97",2021-04-04,"USS 0009073",576,5.64
"98",2021-04-04,"USS 0009074",576,5.64
"99",2021-04-04,"USS 0009075",576,5.62
"100",2021-04-04,"USS 0009076",576,5.04
"101",2021-04-04,"USS 0015695",576,2.74
"102",2021-04-04,"USS 0017113",192,0.08
"103",2021-04-04,"USS 0017137",768,0
"104",2021-04-04,"USS 0017138",576,3.36
"105",2021-04-04,"USS 0020686",192,0
"106",2021-04-04,"USS 0020707",768,43.18
"107",2021-04-04,"UST 0000711",1248,32.06
"108",2021-04-04,"UST 0000712",1248,19.74
"109",2021-04-04,"UST 0000713",1248,18.42
"110",2021-04-04,"UST 0002019",1248,18.14
"111",2021-04-04,"UST 0002020",1248,18.16
"112",2021-04-04,"UST 0002021",NA,278.34
"113",2021-04-05,"USS 0004903",384,7.38
"114",2021-04-05,"USS 0004927",384,8.8
"115",2021-04-05,"USS 0004949",384,4.18
"116",2021-04-05,"USS 0004966",384,6.14
"117",2021-04-05,"USS 0005019",576,12.08
"118",2021-04-05,"USS 0008953",576,7.38
"119",2021-04-05,"USS 0008983",576,9.86
"120",2021-04-05,"USS 0009044",576,9.64
"121",2021-04-05,"USS 0009063",576,6.12
