,dtr_name,time,active_energy,datetime
0,NR VEDANT SKY DTR,00:15:00,0.2,2023-03-14 00:15:00
1,NR VEDANT SKY DTR,00:30:00,0.2,2023-03-14 00:30:00
2,NR VEDANT SKY DTR,00:45:00,0.2,2023-03-14 00:45:00
3,NR VEDANT SKY DTR,01:00:00,0.2,2023-03-14 01:00:00
4,NR VEDANT SKY DTR,01:15:00,0.2,2023-03-14 01:15:00
5,NR VEDANT SKY DTR,01:30:00,0.2,2023-03-14 01:30:00
6,NR VEDANT SKY DTR,01:45:00,0.2,2023-03-14 01:45:00
7,NR VEDANT SKY DTR,02:00:00,0.2,2023-03-14 02:00:00
8,NR VEDANT SKY DTR,02:15:00,0.2,2023-03-14 02:15:00
9,NR VEDANT SKY DTR,02:30:00,0.2,2023-03-14 02:30:00
10,NR VEDANT SKY DTR,02:45:00,0.2,2023-03-14 02:45:00
11,NR VEDANT SKY DTR,03:00:00,0.2,2023-03-14 03:00:00
12,NR VEDANT SKY DTR,03:15:00,0.2,2023-03-14 03:15:00
13,NR VEDANT SKY DTR,03:30:00,0.2,2023-03-14 03:30:00
14,NR VEDANT SKY DTR,03:45:00,0.2,2023-03-14 03:45:00
15,NR VEDANT SKY DTR,04:00:00,0.2,2023-03-14 04:00:00
16,NR VEDANT SKY DTR,04:15:00,0.2,2023-03-14 04:15:00
17,NR VEDANT SKY DTR,04:30:00,0.2,2023-03-14 04:30:00
18,NR VEDANT SKY DTR,04:45:00,0.2,2023-03-14 04:45:00
19,NR VEDANT SKY DTR,05:00:00,0.2,2023-03-14 05:00:00
20,NR VEDANT SKY DTR,05:15:00,0.2,2023-03-14 05:15:00
21,NR VEDANT SKY DTR,05:30:00,0.2,2023-03-14 05:30:00
22,NR VEDANT SKY DTR,05:45:00,0.2,2023-03-14 05:45:00
23,NR VEDANT SKY DTR,06:00:00,0.2,2023-03-14 06:00:00
24,NR VEDANT SKY DTR,06:15:00,0.2,2023-03-14 06:15:00
25,NR VEDANT SKY DTR,06:30:00,0.1,2023-03-14 06:30:00
26,NR VEDANT SKY DTR,06:45:00,0.1,2023-03-14 06:45:00
27,NR VEDANT SKY DTR,07:00:00,0.1,2023-03-14 07:00:00
28,NR VEDANT SKY DTR,07:15:00,0.0,2023-03-14 07:15:00
29,NR VEDANT SKY DTR,07:30:00,0.0,2023-03-14 07:30:00
30,NR VEDANT SKY DTR,07:45:00,0.0,2023-03-14 07:45:00
31,NR VEDANT SKY DTR,08:00:00,0.0,2023-03-14 08:00:00
32,NR VEDANT SKY DTR,08:15:00,0.0,2023-03-14 08:15:00
33,NR VEDANT SKY DTR,08:30:00,0.1,2023-03-14 08:30:00
34,NR VEDANT SKY DTR,08:45:00,0.1,2023-03-14 08:45:00
35,NR VEDANT SKY DTR,09:00:00,1.9,2023-03-14 09:00:00
36,NR VEDANT SKY DTR,09:15:00,1.1,2023-03-14 09:15:00
37,NR VEDANT SKY DTR,09:30:00,0.0,2023-03-14 09:30:00
38,NR VEDANT SKY DTR,09:45:00,0.1,2023-03-14 09:45:00
39,NR VEDANT SKY DTR,10:00:00,0.1,2023-03-14 10:00:00
40,NR VEDANT SKY DTR,10:15:00,0.1,2023-03-14 10:15:00
41,NR VEDANT SKY DTR,10:30:00,0.1,2023-03-14 10:30:00
42,NR VEDANT SKY DTR,10:45:00,0.1,2023-03-14 10:45:00
43,NR VEDANT SKY DTR,11:00:00,0.1,2023-03-14 11:00:00
44,NR VEDANT SKY DTR,11:15:00,0.2,2023-03-14 11:15:00
45,NR VEDANT SKY DTR,11:30:00,0.2,2023-03-14 11:30:00
46,NR VEDANT SKY DTR,11:45:00,0.60000002,2023-03-14 11:45:00
47,NR VEDANT SKY DTR,12:00:00,0.69999999,2023-03-14 12:00:00
48,NR VEDANT SKY DTR,12:15:00,0.69999999,2023-03-14 12:15:00
49,NR VEDANT SKY DTR,12:30:00,0.60000002,2023-03-14 12:30:00
50,NR VEDANT SKY DTR,12:45:00,0.60000002,2023-03-14 12:45:00
51,NR VEDANT SKY DTR,13:00:00,1.0,2023-03-14 13:00:00
52,NR VEDANT SKY DTR,13:15:00,1.1,2023-03-14 13:15:00
53,NR VEDANT SKY DTR,13:30:00,1.2,2023-03-14 13:30:00
54,NR VEDANT SKY DTR,13:45:00,1.1,2023-03-14 13:45:00
55,NR VEDANT SKY DTR,14:00:00,0.60000002,2023-03-14 14:00:00
56,NR VEDANT SKY DTR,14:15:00,0.80000001,2023-03-14 14:15:00
57,NR VEDANT SKY DTR,14:30:00,0.80000001,2023-03-14 14:30:00
58,NR VEDANT SKY DTR,14:45:00,0.89999998,2023-03-14 14:45:00
59,NR VEDANT SKY DTR,15:00:00,0.89999998,2023-03-14 15:00:00
60,NR VEDANT SKY DTR,15:15:00,0.89999998,2023-03-14 15:15:00
61,NR VEDANT SKY DTR,15:30:00,0.5,2023-03-14 15:30:00
62,NR VEDANT SKY DTR,15:45:00,0.80000001,2023-03-14 15:45:00
63,NR VEDANT SKY DTR,16:00:00,0.80000001,2023-03-14 16:00:00
64,NR VEDANT SKY DTR,16:15:00,0.80000001,2023-03-14 16:15:00
65,NR VEDANT SKY DTR,16:30:00,0.80000001,2023-03-14 16:30:00
66,NR VEDANT SKY DTR,16:45:00,0.5,2023-03-14 16:45:00
67,NR VEDANT SKY DTR,17:00:00,0.69999999,2023-03-14 17:00:00
68,NR VEDANT SKY DTR,17:15:00,0.69999999,2023-03-14 17:15:00
69,NR VEDANT SKY DTR,17:30:00,3.2,2023-03-14 17:30:00
70,NR VEDANT SKY DTR,17:45:00,0.30000001,2023-03-14 17:45:00
71,NR VEDANT SKY DTR,18:00:00,0.30000001,2023-03-14 18:00:00
72,NR VEDANT SKY DTR,18:15:00,0.0,2023-03-14 18:15:00
73,NR VEDANT SKY DTR,18:30:00,0.0,2023-03-14 18:30:00
74,NR VEDANT SKY DTR,18:45:00,0.1,2023-03-14 18:45:00
75,NR VEDANT SKY DTR,19:00:00,0.2,2023-03-14 19:00:00
76,NR VEDANT SKY DTR,19:15:00,0.60000002,2023-03-14 19:15:00
77,NR VEDANT SKY DTR,19:30:00,0.60000002,2023-03-14 19:30:00
78,NR VEDANT SKY DTR,19:45:00,0.2,2023-03-14 19:45:00
79,NR VEDANT SKY DTR,20:00:00,0.2,2023-03-14 20:00:00
80,NR VEDANT SKY DTR,20:15:00,0.2,2023-03-14 20:15:00
81,NR VEDANT SKY DTR,20:30:00,0.2,2023-03-14 20:30:00
82,NR VEDANT SKY DTR,20:45:00,0.2,2023-03-14 20:45:00
83,NR VEDANT SKY DTR,21:00:00,0.2,2023-03-14 21:00:00
84,NR VEDANT SKY DTR,21:15:00,0.2,2023-03-14 21:15:00
85,NR VEDANT SKY DTR,21:30:00,0.2,2023-03-14 21:30:00
86,NR VEDANT SKY DTR,21:45:00,0.2,2023-03-14 21:45:00
87,NR VEDANT SKY DTR,22:00:00,0.2,2023-03-14 22:00:00
88,NR VEDANT SKY DTR,22:15:00,0.2,2023-03-14 22:15:00
89,NR VEDANT SKY DTR,22:30:00,0.2,2023-03-14 22:30:00
90,NR VEDANT SKY DTR,22:45:00,0.2,2023-03-14 22:45:00
91,NR VEDANT SKY DTR,23:00:00,0.2,2023-03-14 23:00:00
92,NR VEDANT SKY DTR,23:15:00,0.2,2023-03-14 23:15:00
93,NR VEDANT SKY DTR,23:30:00,0.2,2023-03-14 23:30:00
94,NR VEDANT SKY DTR,23:45:00,0.2,2023-03-14 23:45:00
95,NR VEDANT SKY DTR,23:00:00,0.2,2023-03-14 23:00:00
96,AASHIRWAD AVENUE DTR 1,00:15:00,15.50000001,2023-03-14 00:15:00
97,AASHIRWAD AVENUE DTR 1,00:30:00,16.30000018,2023-03-14 00:30:00
98,AASHIRWAD AVENUE DTR 1,00:45:00,15.60000012,2023-03-14 00:45:00
99,AASHIRWAD AVENUE DTR 1,01:00:00,15.10000012,2023-03-14 01:00:00
100,AASHIRWAD AVENUE DTR 1,01:15:00,14.20000007,2023-03-14 01:15:00
101,AASHIRWAD AVENUE DTR 1,01:30:00,13.499999970000001,2023-03-14 01:30:00
102,AASHIRWAD AVENUE DTR 1,01:45:00,13.399999970000001,2023-03-14 01:45:00
103,AASHIRWAD AVENUE DTR 1,02:00:00,13.39999996,2023-03-14 02:00:00
104,AASHIRWAD AVENUE DTR 1,02:15:00,12.299999979999999,2023-03-14 02:15:00
105,AASHIRWAD AVENUE DTR 1,02:30:00,12.499999970000001,2023-03-14 02:30:00
106,AASHIRWAD AVENUE DTR 1,02:45:00,10.600000080000001,2023-03-14 02:45:00
107,AASHIRWAD AVENUE DTR 1,03:00:00,7.80000006,2023-03-14 03:00:00
108,AASHIRWAD AVENUE DTR 1,03:15:00,8.100000080000001,2023-03-14 03:15:00
109,AASHIRWAD AVENUE DTR 1,03:30:00,7.90000008,2023-03-14 03:30:00
110,AASHIRWAD AVENUE DTR 1,03:45:00,7.70000007,2023-03-14 03:45:00
111,AASHIRWAD AVENUE DTR 1,04:00:00,7.90000008,2023-03-14 04:00:00
112,AASHIRWAD AVENUE DTR 1,04:15:00,7.700000070000001,2023-03-14 04:15:00
113,AASHIRWAD AVENUE DTR 1,04:30:00,7.20000007,2023-03-14 04:30:00
114,AASHIRWAD AVENUE DTR 1,04:45:00,7.5000000600000005,2023-03-14 04:45:00
115,AASHIRWAD AVENUE DTR 1,05:00:00,8.20000009,2023-03-14 05:00:00
116,AASHIRWAD AVENUE DTR 1,05:15:00,7.700000070000001,2023-03-14 05:15:00
117,AASHIRWAD AVENUE DTR 1,05:30:00,8.40000007,2023-03-14 05:30:00
118,AASHIRWAD AVENUE DTR 1,05:45:00,9.30000008,2023-03-14 05:45:00
119,AASHIRWAD AVENUE DTR 1,06:00:00,10.50000009,2023-03-14 06:00:00
120,AASHIRWAD AVENUE DTR 1,06:15:00,10.50000006,2023-03-14 06:15:00
121,AASHIRWAD AVENUE DTR 1,06:30:00,9.89999993,2023-03-14 06:30:00
122,AASHIRWAD AVENUE DTR 1,06:45:00,8.70000007,2023-03-14 06:45:00
123,AASHIRWAD AVENUE DTR 1,07:00:00,8.700000150000001,2023-03-14 07:00:00
124,AASHIRWAD AVENUE DTR 1,07:15:00,8.100000150000001,2023-03-14 07:15:00
125,AASHIRWAD AVENUE DTR 1,07:30:00,8.40000015,2023-03-14 07:30:00
126,AASHIRWAD AVENUE DTR 1,07:45:00,9.70000019,2023-03-14 07:45:00
127,AASHIRWAD AVENUE DTR 1,08:00:00,9.00000018,2023-03-14 08:00:00
128,AASHIRWAD AVENUE DTR 1,08:15:00,9.80000008,2023-03-14 08:15:00
129,AASHIRWAD AVENUE DTR 1,08:30:00,10.00000009,2023-03-14 08:30:00
130,AASHIRWAD AVENUE DTR 1,08:45:00,9.60000005,2023-03-14 08:45:00
131,AASHIRWAD AVENUE DTR 1,09:00:00,10.70000008,2023-03-14 09:00:00
132,AASHIRWAD AVENUE DTR 1,09:15:00,11.30000004,2023-03-14 09:15:00
133,AASHIRWAD AVENUE DTR 1,09:30:00,12.100000210000001,2023-03-14 09:30:00
134,AASHIRWAD AVENUE DTR 1,09:45:00,16.20000011,2023-03-14 09:45:00
135,AASHIRWAD AVENUE DTR 1,10:00:00,15.60000011,2023-03-14 10:00:00
136,AASHIRWAD AVENUE DTR 1,10:15:00,16.400000209999998,2023-03-14 10:15:00
137,AASHIRWAD AVENUE DTR 1,10:30:00,16.30000015,2023-03-14 10:30:00
138,AASHIRWAD AVENUE DTR 1,10:45:00,16.70000019,2023-03-14 10:45:00
139,AASHIRWAD AVENUE DTR 1,11:00:00,15.70000023,2023-03-14 11:00:00
140,AASHIRWAD AVENUE DTR 1,11:15:00,15.69999994,2023-03-14 11:15:00
141,AASHIRWAD AVENUE DTR 1,11:30:00,16.19999994,2023-03-14 11:30:00
142,AASHIRWAD AVENUE DTR 1,11:45:00,16.99999993,2023-03-14 11:45:00
143,AASHIRWAD AVENUE DTR 1,12:00:00,17.29999993,2023-03-14 12:00:00
144,AASHIRWAD AVENUE DTR 1,12:15:00,17.09999996,2023-03-14 12:15:00
145,AASHIRWAD AVENUE DTR 1,12:30:00,17.30000035,2023-03-14 12:30:00
146,AASHIRWAD AVENUE DTR 1,12:45:00,17.10000038,2023-03-14 12:45:00
147,AASHIRWAD AVENUE DTR 1,13:00:00,16.70000032,2023-03-14 13:00:00
148,AASHIRWAD AVENUE DTR 1,13:15:00,17.30000032,2023-03-14 13:15:00
149,AASHIRWAD AVENUE DTR 1,13:30:00,16.70000031,2023-03-14 13:30:00
150,AASHIRWAD AVENUE DTR 1,13:45:00,16.90000031,2023-03-14 13:45:00
151,AASHIRWAD AVENUE DTR 1,14:00:00,16.39999992,2023-03-14 14:00:00
