,DTR_NAME,METER_NUMBER,n_cons,totcons,avgcons,totsol,meansol,tot_cons_pc,av_cons_pc,tot_sol_pc,av_sol_pc
0,AASHIRWAD AVENUE DTR 1                            ,166,166,33177235.3,6666.1111713883865,0.0,0.0,199862.86325301207,40.15729621318305,0.0,0.0
1,AASHIRWAD AVENUE DTR 2                            ,227,227,23468178.1,3446.1348164464025,0.0,0.0,103384.04449339208,15.181210645138338,0.0,0.0
2,ADARSH HERITAGE 2 DTR                             ,70,70,6464798.2,3078.4753333333333,0.0,0.0,92354.26000000001,43.97821904761905,0.0,0.0
3,ADARSH LIFE STYLE DTR 1                           ,1,1,222976.8,7432.5599999999995,0.0,0.0,222976.8,7432.5599999999995,0.0,0.0
4,ADARSHA ESTATE DTR 1                              ,11,11,801460.0,2428.6666666666665,0.0,0.0,72860.0,220.78787878787878,0.0,0.0
5,ADARSHA ESTATE DTR 2                              ,17,17,844990.9,1666.648717948718,0.0,0.0,49705.34705882353,98.03815987933636,0.0,0.0
6,ADARSHA ESTATE DTR 3                              ,16,16,1218010.0,2537.5208333333335,0.0,0.0,76125.625,158.59505208333334,0.0,0.0
7,ADARSHA LIFESTYLE DTR                             ,144,144,9426433.9,2190.1565752788106,0.0,0.0,65461.34652777778,15.209420661658406,0.0,0.0
8,AEKNATH COMPLEX DTR                               ,72,72,5050953.2,2349.280558139535,0.0,0.0,70152.12777777779,32.62889664082687,0.0,0.0
9,AMBICA ESTATE DTR                                 ,3,3,345536.3,3839.292222222222,0.0,0.0,115178.76666666666,1279.764074074074,0.0,0.0
10,AMBICA NAGAR DTR                                  ,71,71,9945004.5,4713.272274881517,0.0,0.0,140070.48591549296,66.384116547627,0.0,0.0
11,AMC water pump station DTR                        ,2,2,1558926.5,25982.108333333334,0.0,0.0,779463.25,12991.054166666667,0.0,0.0
12,ANANTA GREENS DTR                                 ,81,81,6341963.9,2662.4533585222503,0.0,0.0,78295.85061728396,32.86979454965741,0.0,0.0
13,ANANTA GREENS DTR 2                               ,28,28,859976.0,1023.7809523809524,0.0,0.0,30713.428571428572,36.56360544217687,0.0,0.0
14,ANGAN HOMES DTR1                                  ,45,45,2864474.0,2121.8325925925924,0.0,0.0,63654.97777777778,47.151835390946495,0.0,0.0
15,ASCEND TELECOM A.M.C. PLOTNR SHUBHAM GALAXY DTR   ,1,1,139158.5,4638.616666666667,0.0,0.0,139158.5,4638.616666666667,0.0,0.0
16,ASTMANGAL DTR                                     ,237,237,27980871.0,3935.978477985652,0.0,0.0,118062.74683544303,16.60750412652174,0.0,0.0
17,AVANI ICON DTR 1                                  ,138,138,16226872.6,3913.8621804148574,0.0,0.0,117586.03333333333,28.36132014793375,0.0,0.0
18,AVANI ICON DTR 2                                  ,1,1,1456223.5,48540.78333333333,0.0,0.0,1456223.5,48540.78333333333,0.0,0.0
19,B/H VITTHAL PLAZA DTR                             ,1,1,56272.3,14068.075,0.0,0.0,56272.3,14068.075,0.0,0.0
20,BAPASHRI PARK DTR                                 ,99,99,14698476.7,4948.982053872053,0.0,0.0,148469.4616161616,49.98971771587932,0.0,0.0
21,BAPS SWAMINARAYAN TEMPLE                          ,1,1,439257.0,14641.9,0.0,0.0,439257.0,14641.9,0.0,0.0
22,BHAKTI BUNGLOW DTR                                ,22,22,7628248.8,11419.534131736527,1246522.3,1866.0513473053893,346738.5818181818,519.0697332607513,56660.104545454546,84.82051578660861
23,BHAKTI ENCLAVES DTR 1                             ,107,107,18002156.0,5608.148286604362,0.0,0.0,168244.44859813084,52.412600809386554,0.0,0.0
24,BHAKTI ENCLAVES DTR 2                             ,62,62,8800154.4,4731.265806451613,0.0,0.0,141937.9741935484,76.31073881373568,0.0,0.0
25,BHAKTI ENCLAVES DTR 3                             ,63,63,8484450.7,4489.127354497354,0.0,0.0,134673.82063492062,71.25598975392624,0.0,0.0
26,BHAKTI ENCLAVES DTR 4                             ,65,65,11998878.2,6159.588398357289,0.0,0.0,184598.12615384615,94.76289843626598,0.0,0.0
27,BHAKTI ENCLAVES DTR 5                             ,89,89,19279187.7,7272.42086005281,283990.0,107.12561297623539,216620.08651685392,81.71259393317764,3190.8988764044943,1.2036585727666897
28,BHAKTI RAJ DTR 1                                  ,13,13,2674618.7,6857.996666666667,0.0,0.0,205739.90000000002,527.5382051282052,0.0,0.0
29,BHAKTI RAJ DTR 2                                  ,14,14,2252901.8,5364.051904761905,238692.1,568.3145238095238,160921.55714285714,383.1465646258503,17049.435714285715,40.593894557823134
30,BHAKTI RANG DTR                                   ,44,44,8099907.9,6136.293863636364,417839.7,316.5452272727273,184088.81590909092,139.46122417355375,9496.35681818182,7.194209710743802
31,Balaji Enclave DTR                                ,209,209,40161784.7,6403.3457748724495,0.0,0.0,192161.64928229665,30.638018061590667,0.0,0.0
32,CAPITAL CORPORATE DTR                             ,35,35,2654969.8,2528.5426666666663,0.0,0.0,75856.28,72.24407619047618,0.0,0.0
33,Crystal Icon DTR                                  ,38,38,3506813.6,3076.1522807017545,0.0,0.0,92284.56842105264,80.9513758079409,0.0,0.0
34,DEEPNAGAR DTR                                     ,127,127,14472919.4,3798.666509186352,0.0,0.0,113959.99527559055,29.910759914853166,0.0,0.0
35,DEV NANDAN PARK DTR 1                             ,150,150,20297726.2,4511.608401867082,0.0,0.0,135318.17466666666,30.077389345780546,0.0,0.0
