DTR,PT_TENEMENT_NUMBER,PROPERTY_TYPE,USAGE_CODE,BUILDING_TYPE,COUNT_OF_FLOOR,CONST_YR,AREA,ADDRESS,Meter No.,Account No. ,Latitude,Longittude
Shyam Ved DTR,02345721110001R,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/101 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008953,75107201008,23.0330584,72.6658198
Shyam Ved DTR,02345721130001F,RESIDENTIAL,4,FLAT,1,2014,52.65,"A/102 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008954,75107201032,23.0330584,72.6658198
Shyam Ved DTR,02345721150001Q,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/103 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008955,75107205917,23.0330584,72.6658198
Shyam Ved DTR,02345721170001E,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/104 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008957,75107201040,23.0330584,72.6658198
Shyam Ved DTR,02345721190001P,RESIDENTIAL,4,FLAT,1,2014,52.65,"A/105 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008959,75107201059,23.0330584,72.6658198
Shyam Ved DTR,02345721210001K,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/106 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008961,75107201067,23.0330584,72.6658198
Shyam Ved DTR,02345721230001V,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/201 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008963,75107201075,23.0330584,72.6658198
Shyam Ved DTR,02345721250001J,RESIDENTIAL,4,FLAT,1,2014,52.65,"A/202 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008964,75107201083,23.0330584,72.6658198
Shyam Ved DTR,02345721270001U,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/203 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008965,75107201091,23.0330584,72.6658198
Shyam Ved DTR,02345721290001I,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/204 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008966,75107201105,23.0330584,72.6658198
